provname,year,quintile,itemid,item,binshr,implrealdol
Alberta,1995,4,20,Registered Retirement Savings Plan Income,.2837409973144531,233785.13
Alberta,1995,4,23,Net Professional Income,.1467258334159851,186025.23
Alberta,1995,4,33,Total Income Assessed,.2632843852043152,20168180
Alberta,1995,4,74,Spouse Or Common-Law Partner Amount,.2268726378679276,430527.69
Alberta,1995,5,19,Taxable Capital Gains,.8652585744857788,1311798.8
Alberta,1995,5,20,Registered Retirement Savings Plan Income,.3827707841992378,315379.59
Alberta,1995,5,23,Net Professional Income,.7259128093719482,920343
Alberta,1995,5,33,Total Income Assessed,.4406972527503967,33758408
Alberta,1995,5,74,Spouse Or Common-Law Partner Amount,.2198676913976669,417234.69
Alberta,1996,1,19,Taxable Capital Gains,.0111150741577148,25493.938
Alberta,1996,1,20,Registered Retirement Savings Plan Income,.0637136101722717,56820.004
Alberta,1996,1,23,Net Professional Income,.0157185792922974,20680.023
Alberta,1996,1,33,Total Income Assessed,.0398120880126953,3196729.8
Alberta,1996,1,74,Spouse Or Common-Law Partner Amount,.1301319599151611,238027.72
Alberta,1996,2,19,Taxable Capital Gains,.0211784839630127,48575.738
Alberta,1996,2,20,Registered Retirement Savings Plan Income,.1068829298019409,95318.547
Alberta,1996,2,23,Net Professional Income,.0457305312156677,60165.008
Alberta,1996,2,33,Total Income Assessed,.0914234519004822,7340888
Alberta,1996,2,74,Spouse Or Common-Law Partner Amount,.1912515759468079,349823.19
Alberta,1996,3,19,Taxable Capital Gains,.0362129211425781,83059.266
Alberta,1996,3,20,Registered Retirement Savings Plan Income,.1800181865692139,160540.8
Alberta,1996,3,23,Net Professional Income,.0868645906448364,114282.7
Alberta,1996,3,33,Total Income Assessed,.1579014658927917,12678770
Alberta,1996,3,74,Spouse Or Common-Law Partner Amount,.2085296809673309,381427
Alberta,1996,4,19,Taxable Capital Gains,.0816806554794312,187345.72
Alberta,1996,4,20,Registered Retirement Savings Plan Income,.2628512680530548,234411.61
Alberta,1996,4,23,Net Professional Income,.1152340769767761,151606.8
Alberta,1996,4,33,Total Income Assessed,.2600989043712616,20884760
Alberta,1996,4,74,Spouse Or Common-Law Partner Amount,.2483035326004028,454178.38
Alberta,1996,5,19,Taxable Capital Gains,.8498128652572632,1949161.6
Alberta,1996,5,20,Registered Retirement Savings Plan Income,.3865340054035187,344712.28
Alberta,1996,5,23,Net Professional Income,.7364522218704224,968907.5
Alberta,1996,5,33,Total Income Assessed,.4507640898227692,36194308
Alberta,1996,5,74,Spouse Or Common-Law Partner Amount,.2217832515016198,405669.47
Alberta,1997,1,19,Taxable Capital Gains,.0124883055686951,36218.164
Alberta,1997,1,20,Registered Retirement Savings Plan Income,.0576151609420776,46906.566
Alberta,1997,1,23,Net Professional Income,.0121563076972961,16981.586
Alberta,1997,1,33,Total Income Assessed,.0378878116607666,3287085
Alberta,1997,1,74,Spouse Or Common-Law Partner Amount,.1145644783973694,201046.81
Alberta,1997,2,19,Taxable Capital Gains,.0228138566017151,66163.977
Alberta,1997,2,20,Registered Retirement Savings Plan Income,.1083791851997375,88235.375
Alberta,1997,2,23,Net Professional Income,.0395399928092957,55234.848
Alberta,1997,2,33,Total Income Assessed,.0904394388198853,7846379
Alberta,1997,2,74,Spouse Or Common-Law Partner Amount,.192072331905365,337063.72
Alberta,1997,3,19,Taxable Capital Gains,.0402228236198425,116652.88
Alberta,1997,3,20,Registered Retirement Savings Plan Income,.1902899742126465,154921.88
Alberta,1997,3,23,Net Professional Income,.0759209990501404,106056.8
Alberta,1997,3,33,Total Income Assessed,.1540723443031311,13367066
Alberta,1997,3,74,Spouse Or Common-Law Partner Amount,.2242777049541473,393580.25
Alberta,1997,4,19,Taxable Capital Gains,.0791314244270325,229494.28
Alberta,1997,4,20,Registered Retirement Savings Plan Income,.2781625688076019,226462.11
Alberta,1997,4,23,Net Professional Income,.1065770387649536,148881.33
Alberta,1997,4,33,Total Income Assessed,.2550540566444397,22128076
Alberta,1997,4,74,Spouse Or Common-Law Partner Amount,.2487598359584808,436543.44
Alberta,1997,5,19,Taxable Capital Gains,.8453435897827148,2451637
Alberta,1997,5,20,Registered Retirement Savings Plan Income,.3655531108379364,297609.88
Alberta,1997,5,23,Net Professional Income,.7658056616783142,1069781.8
Alberta,1997,5,33,Total Income Assessed,.4625463485717773,40129772
Alberta,1997,5,74,Spouse Or Common-Law Partner Amount,.2203256525099277,386644.88
Alberta,1998,1,19,Taxable Capital Gains,.0165262222290039,42592.691
Alberta,1998,1,20,Registered Retirement Savings Plan Income,.0663377046585083,60130.684
Alberta,1998,1,23,Net Professional Income,.0177368521690369,27750.535
Alberta,1998,1,33,Total Income Assessed,.0376933217048645,3473474.3
Alberta,1998,1,74,Spouse Or Common-Law Partner Amount,.1355943083763123,232660.17
Alberta,1998,2,19,Taxable Capital Gains,.0204755663871765,52771.254
Alberta,1998,2,20,Registered Retirement Savings Plan Income,.085249125957489,77272.617
Alberta,1998,2,23,Net Professional Income,.0307179093360901,48060.301
Alberta,1998,2,33,Total Income Assessed,.0895199179649353,8249343
Alberta,1998,2,74,Spouse Or Common-Law Partner Amount,.1893484592437744,324894.5
Alberta,1998,3,19,Taxable Capital Gains,.0426963567733765,110040.44
Alberta,1998,3,20,Registered Retirement Savings Plan Income,.1824946403503418,165419.17
Alberta,1998,3,23,Net Professional Income,.0698841214179993,109338.55
Alberta,1998,3,33,Total Income Assessed,.1531083583831787,14109076
Alberta,1998,3,74,Spouse Or Common-Law Partner Amount,.2070955634117126,355345.97
Alberta,1998,4,19,Taxable Capital Gains,.0755788683891296,194787.84
Alberta,1998,4,20,Registered Retirement Savings Plan Income,.2903675138950348,263198.69
Alberta,1998,4,23,Net Professional Income,.1281173229217529,200448.44
Alberta,1998,4,33,Total Income Assessed,.2515367567539215,23179344
Alberta,1998,4,74,Spouse Or Common-Law Partner Amount,.2342275530099869,401900.53
Alberta,1998,5,19,Taxable Capital Gains,.8447229862213135,2177087
Alberta,1998,5,20,Registered Retirement Savings Plan Income,.3755510114133358,340411.84
Alberta,1998,5,23,Net Professional Income,.7535437941551208,1178971.5
Alberta,1998,5,33,Total Income Assessed,.4681416451931,43139684
Alberta,1998,5,74,Spouse Or Common-Law Partner Amount,.233734117820859,401053.84
Alberta,1999,1,19,Taxable Capital Gains,.0255670547485352,68900.672
Alberta,1999,1,20,Registered Retirement Savings Plan Income,.0547698736190796,59517.43
Alberta,1999,1,23,Net Professional Income,.0131542086601257,21001.904
Alberta,1999,1,33,Total Income Assessed,.034889817237854,3319377.3
Alberta,1999,1,74,Spouse Or Common-Law Partner Amount,.1393292546272278,250134.69
Alberta,1999,2,19,Taxable Capital Gains,.0198090076446533,53383.309
Alberta,1999,2,20,Registered Retirement Savings Plan Income,.0935051441192627,101610.34
Alberta,1999,2,23,Net Professional Income,.0275802612304688,44034.426
Alberta,1999,2,33,Total Income Assessed,.0881010293960571,8381831
Alberta,1999,2,74,Spouse Or Common-Law Partner Amount,.1765070557594299,316879.16
Alberta,1999,3,19,Taxable Capital Gains,.0400364995002747,107894.39
Alberta,1999,3,20,Registered Retirement Savings Plan Income,.1692407131195068,183910.81
Alberta,1999,3,23,Net Professional Income,.0755394697189331,120605.71
Alberta,1999,3,33,Total Income Assessed,.1544239521026611,14691718
Alberta,1999,3,74,Spouse Or Common-Law Partner Amount,.2146342098712921,385328
Alberta,1999,4,19,Taxable Capital Gains,.0838332176208496,225922.2
Alberta,1999,4,20,Registered Retirement Savings Plan Income,.2837310433387756,308325.38
Alberta,1999,4,23,Net Professional Income,.1244704723358154,198728.56
Alberta,1999,4,33,Total Income Assessed,.2564209699630737,24395598
Alberta,1999,4,74,Spouse Or Common-Law Partner Amount,.2344120740890503,420834.75
Alberta,1999,5,19,Taxable Capital Gains,.8307542204856873,2238800.3
Alberta,1999,5,20,Registered Retirement Savings Plan Income,.3987532332539558,433317.91
Alberta,1999,5,23,Net Professional Income,.759255588054657,1212221.4
Alberta,1999,5,33,Total Income Assessed,.466164231300354,44350332
Alberta,1999,5,74,Spouse Or Common-Law Partner Amount,.235117407515645,422101.03
Alberta,2000,1,19,Taxable Capital Gains,.0136234760284424,47079.457
Alberta,2000,1,20,Registered Retirement Savings Plan Income,.059668242931366,64010.449
Alberta,2000,1,23,Net Professional Income,.0135746598243713,17505.145
Alberta,2000,1,33,Total Income Assessed,.0360772609710693,3680594
Alberta,2000,1,74,Spouse Or Common-Law Partner Amount,.1370773315429688,272297.78
Alberta,2000,2,19,Taxable Capital Gains,.0240058302879333,82958.375
Alberta,2000,2,20,Registered Retirement Savings Plan Income,.0925056338310242,99237.5
Alberta,2000,2,23,Net Professional Income,.0274468064308167,35393.914
Alberta,2000,2,33,Total Income Assessed,.0863644480705261,8810882
Alberta,2000,2,74,Spouse Or Common-Law Partner Amount,.1857573390007019,368998.38
Alberta,2000,3,19,Taxable Capital Gains,.0473352074623108,163579.09
Alberta,2000,3,20,Registered Retirement Savings Plan Income,.1873880624771118,201024.77
Alberta,2000,3,23,Net Professional Income,.0501871705055237,64718.652
Alberta,2000,3,33,Total Income Assessed,.1533791422843933,15647706
Alberta,2000,3,74,Spouse Or Common-Law Partner Amount,.221456378698349,439912.88
Alberta,2000,4,19,Taxable Capital Gains,.0890993475914001,307905.91
Alberta,2000,4,20,Registered Retirement Savings Plan Income,.2588696181774139,277708.22
Alberta,2000,4,23,Net Professional Income,.0940125584602356,121233.49
Alberta,2000,4,33,Total Income Assessed,.2537986636161804,25892482
Alberta,2000,4,74,Spouse Or Common-Law Partner Amount,.2266367375850677,450203.44
Alberta,2000,5,19,Taxable Capital Gains,.8259361386299133,2854236.8
Alberta,2000,5,20,Registered Retirement Savings Plan Income,.4015684351325035,430791.56
Alberta,2000,5,23,Net Professional Income,.8147788047790527,1050694.5
Alberta,2000,5,33,Total Income Assessed,.4703804850578308,47988112
Alberta,2000,5,74,Spouse Or Common-Law Partner Amount,.22907221224159,455041.38
Alberta,2001,1,19,Taxable Capital Gains,.0106897354125977,23068.016
Alberta,2001,1,20,Registered Retirement Savings Plan Income,.0550137162208557,60892.957
Alberta,2001,1,23,Net Professional Income,.0136904120445251,19469.553
Alberta,2001,1,33,Total Income Assessed,.0367642045021057,4003574.3
Alberta,2001,1,74,Spouse Or Common-Law Partner Amount,.1580445766448975,315198.28
Alberta,2001,2,19,Taxable Capital Gains,.0182969570159912,39484.094
Alberta,2001,2,20,Registered Retirement Savings Plan Income,.0959227681159973,106173.91
Alberta,2001,2,23,Net Professional Income,.0248458981513977,35334.109
Alberta,2001,2,33,Total Income Assessed,.0842458605766296,9174265
Alberta,2001,2,74,Spouse Or Common-Law Partner Amount,.174665093421936,348345.63
Alberta,2001,3,19,Taxable Capital Gains,.0344380736351013,74315.969
Alberta,2001,3,20,Registered Retirement Savings Plan Income,.2017635703086853,223325.77
Alberta,2001,3,23,Net Professional Income,.055178165435791,78470.555
Alberta,2001,3,33,Total Income Assessed,.1498881578445435,16322626
Alberta,2001,3,74,Spouse Or Common-Law Partner Amount,.2103177607059479,419450
Alberta,2001,4,19,Taxable Capital Gains,.0803308486938477,173350.72
Alberta,2001,4,20,Registered Retirement Savings Plan Income,.2560338973999023,283395.88
Alberta,2001,4,23,Net Professional Income,.08253014087677,117368.63
Alberta,2001,4,33,Total Income Assessed,.2477284073829651,26977302
Alberta,2001,4,74,Spouse Or Common-Law Partner Amount,.2224986404180527,443743.09
Alberta,2001,5,19,Taxable Capital Gains,.8562443852424622,1847740.8
Alberta,2001,5,20,Registered Retirement Savings Plan Income,.3912660479545593,433080.13
Alberta,2001,5,23,Net Professional Income,.8237553834915161,1171487.6
Alberta,2001,5,33,Total Income Assessed,.4813733696937561,52420936
Alberta,2001,5,74,Spouse Or Common-Law Partner Amount,.2344739269465208,467626.16
Alberta,2002,1,19,Taxable Capital Gains,.015127420425415,26461.768
Alberta,2002,1,20,Registered Retirement Savings Plan Income,.0676616430282593,74419.211
Alberta,2002,1,23,Net Professional Income,.0096267461776733,13115.771
Alberta,2002,1,33,Total Income Assessed,.0362220406532288,3985688.5
Alberta,2002,1,74,Spouse Or Common-Law Partner Amount,.1528419852256775,309677.47
Alberta,2002,2,19,Taxable Capital Gains,.0226190090179443,39566.492
Alberta,2002,2,20,Registered Retirement Savings Plan Income,.0898349285125732,98807.016
Alberta,2002,2,23,Net Professional Income,.0176728963851929,24078.088
Alberta,2002,2,33,Total Income Assessed,.0851418972015381,9368580
Alberta,2002,2,74,Spouse Or Common-Law Partner Amount,.1829597949981689,370700.03
Alberta,2002,3,19,Taxable Capital Gains,.042939305305481,75111.938
Alberta,2002,3,20,Registered Retirement Savings Plan Income,.192798376083374,212053.73
Alberta,2002,3,23,Net Professional Income,.0446841716766357,60879.066
Alberta,2002,3,33,Total Income Assessed,.1522694826126099,16754957
Alberta,2002,3,74,Spouse Or Common-Law Partner Amount,.2031227946281433,411552.84
Alberta,2002,4,19,Taxable Capital Gains,.0859973430633545,150431.58
Alberta,2002,4,20,Registered Retirement Savings Plan Income,.2740678787231445,301439.88
Alberta,2002,4,23,Net Professional Income,.0904287099838257,123202.81
Alberta,2002,4,33,Total Income Assessed,.2525250613689423,27786568
Alberta,2002,4,74,Spouse Or Common-Law Partner Amount,.2231235057115555,452076.88
Alberta,2002,5,19,Taxable Capital Gains,.8333169221878052,1457686.6
Alberta,2002,5,20,Registered Retirement Savings Plan Income,.3756371699273586,413153.19
Alberta,2002,5,23,Net Professional Income,.8375874757766724,1141154.5
Alberta,2002,5,33,Total Income Assessed,.473841518163681,52139104
Alberta,2002,5,74,Spouse Or Common-Law Partner Amount,.2379519212990999,482121.13
Alberta,2003,1,19,Taxable Capital Gains,.015347421169281,30436.049
Alberta,2003,1,20,Registered Retirement Savings Plan Income,.0622761249542236,75229.172
Alberta,2003,1,23,Net Professional Income,.0115070939064026,15181.955
Alberta,2003,1,33,Total Income Assessed,.0371055006980896,4066155.3
Alberta,2003,1,74,Spouse Or Common-Law Partner Amount,.1741411089897156,337272.66
Alberta,2003,2,19,Taxable Capital Gains,.0209034085273743,41454.336
Alberta,2003,2,20,Registered Retirement Savings Plan Income,.0824590921401978,99610.07
Alberta,2003,2,23,Net Professional Income,.0274829268455505,36259.77
Alberta,2003,2,33,Total Income Assessed,.0860636830329895,9431170
Alberta,2003,2,74,Spouse Or Common-Law Partner Amount,.1671615839004517,323754.84
Alberta,2003,3,19,Taxable Capital Gains,.0402131080627441,79748.125
Alberta,2003,3,20,Registered Retirement Savings Plan Income,.1760862469673157,212711.08
Alberta,2003,3,23,Net Professional Income,.0586084723472595,77325.445
Alberta,2003,3,33,Total Income Assessed,.1527215838432312,16735785
Alberta,2003,3,74,Spouse Or Common-Law Partner Amount,.2041024565696716,395301.13
Alberta,2003,4,19,Taxable Capital Gains,.0817323327064514,162086.47
Alberta,2003,4,20,Registered Retirement Savings Plan Income,.2879283130168915,347815.59
Alberta,2003,4,23,Net Professional Income,.0697842240333557,92070.242
Alberta,2003,4,33,Total Income Assessed,.2533169388771057,27759388
Alberta,2003,4,74,Spouse Or Common-Law Partner Amount,.2209206968545914,427874.31
Alberta,2003,5,19,Taxable Capital Gains,.8418037295341492,1669412.6
Alberta,2003,5,20,Registered Retirement Savings Plan Income,.3912502154707909,472627.81
Alberta,2003,5,23,Net Professional Income,.8326172828674316,1098518.8
Alberta,2003,5,33,Total Income Assessed,.470792293548584,51591124
Alberta,2003,5,74,Spouse Or Common-Law Partner Amount,.2336741499602795,452574.94
Alberta,2004,1,19,Taxable Capital Gains,.0125935673713684,32392.838
Alberta,2004,1,20,Registered Retirement Savings Plan Income,.0467798709869385,57128.871
Alberta,2004,1,23,Net Professional Income,.0129539966583252,17365.018
Alberta,2004,1,33,Total Income Assessed,.0354737043380737,4199788.5
Alberta,2004,1,74,Spouse Or Common-Law Partner Amount,.1714627146720886,349088.53
Alberta,2004,2,19,Taxable Capital Gains,.0200613141059875,51601.176
Alberta,2004,2,20,Registered Retirement Savings Plan Income,.0962432026863098,117534.86
Alberta,2004,2,23,Net Professional Income,.0245963335037231,32971.734
Alberta,2004,2,33,Total Income Assessed,.0840484499931335,9950630
Alberta,2004,2,74,Spouse Or Common-Law Partner Amount,.1690624952316284,344201.81
Alberta,2004,3,19,Taxable Capital Gains,.0452744364738464,116453.7
Alberta,2004,3,20,Registered Retirement Savings Plan Income,.2115916609764099,258401.58
Alberta,2004,3,23,Net Professional Income,.0555586218833923,74477.125
Alberta,2004,3,33,Total Income Assessed,.1510892510414124,17887696
Alberta,2004,3,74,Spouse Or Common-Law Partner Amount,.2092969417572021,426116.91
Alberta,2004,4,19,Taxable Capital Gains,.0818465948104858,210523.63
Alberta,2004,4,20,Registered Retirement Savings Plan Income,.2580686807632446,315160.59
Alberta,2004,4,23,Net Professional Income,.0713798403739929,95685.695
Alberta,2004,4,33,Total Income Assessed,.251811146736145,29812322
Alberta,2004,4,74,Spouse Or Common-Law Partner Amount,.2167250961065292,441240.22
Alberta,2004,5,19,Taxable Capital Gains,.8402240872383118,2161202
Alberta,2004,5,20,Registered Retirement Savings Plan Income,.3873165771365166,473001.72
Alberta,2004,5,23,Net Professional Income,.8355112075805664,1120014.6
Alberta,2004,5,33,Total Income Assessed,.4775774478912354,56541156
Alberta,2004,5,74,Spouse Or Common-Law Partner Amount,.2334527503699064,475296.78
Alberta,2005,1,19,Taxable Capital Gains,.0071337819099426,30144.787
Alberta,2005,1,20,Registered Retirement Savings Plan Income,.0526296496391296,68503.68
Alberta,2005,1,23,Net Professional Income,.0173090696334839,23984.461
Alberta,2005,1,33,Total Income Assessed,.0344082713127136,4581127
Alberta,2005,2,19,Taxable Capital Gains,.0165712833404541,70024.258
Alberta,2005,2,20,Registered Retirement Savings Plan Income,.0850165486335754,110659.04
Alberta,2005,2,23,Net Professional Income,.0229971408843994,31866.188
Alberta,2005,2,33,Total Income Assessed,.0815430879592896,10856670
Alberta,2005,3,19,Taxable Capital Gains,.0377392768859863,159472.56
Alberta,2005,3,20,Registered Retirement Savings Plan Income,.189423143863678,246556.5
Alberta,2005,3,23,Net Professional Income,.0499238967895508,69177.477
Alberta,2005,3,33,Total Income Assessed,.1459546089172363,19432438
Alberta,2005,4,19,Taxable Capital Gains,.0682082772254944,288223.56
Alberta,2005,4,20,Registered Retirement Savings Plan Income,.2689788639545441,350107.63
Alberta,2005,4,23,Net Professional Income,.0882663726806641,122307.06
Alberta,2005,4,33,Total Income Assessed,.2419631779193878,32215046
Alberta,2005,5,19,Taxable Capital Gains,.8703473806381226,3677773.8
Alberta,2005,5,20,Registered Retirement Savings Plan Income,.4039517939090729,525790.75
Alberta,2005,5,23,Net Professional Income,.8215035200119019,1138323.5
Alberta,2005,5,33,Total Income Assessed,.4961308538913727,66055000
Alberta,2006,1,19,Taxable Capital Gains,.0132476091384888,66523.945
Alberta,2006,1,20,Registered Retirement Savings Plan Income,.0507041811943054,61884.656
Alberta,2006,1,23,Net Professional Income,.0173541903495789,24045.898
Alberta,2006,1,33,Total Income Assessed,.0342941284179688,5066233.5
Alberta,2006,1,89,Public Transit Amount,.1115814447402954,3282.8552
Alberta,2006,2,19,Taxable Capital Gains,.0161703824996948,81200.891
Alberta,2006,2,20,Registered Retirement Savings Plan Income,.0874849557876587,106775.74
Alberta,2006,2,23,Net Professional Income,.0290113687515259,40198.039
Alberta,2006,2,33,Total Income Assessed,.0819565057754517,12107344
Alberta,2006,2,89,Public Transit Amount,.2163976430892944,6366.6689
Alberta,2006,3,19,Taxable Capital Gains,.039207935333252,196885.84
Alberta,2006,3,20,Registered Retirement Savings Plan Income,.1837625503540039,224282.92
Alberta,2006,3,23,Net Professional Income,.0394555926322937,54669.516
Alberta,2006,3,33,Total Income Assessed,.142386257648468,21034564
Alberta,2006,3,89,Public Transit Amount,.2395073771476746,7046.584
Alberta,2006,4,19,Taxable Capital Gains,.0804876685142517,404175.38
Alberta,2006,4,20,Registered Retirement Savings Plan Income,.2498141229152679,304899.13
Alberta,2006,4,23,Net Professional Income,.0839623212814331,116337.87
Alberta,2006,4,33,Total Income Assessed,.236425518989563,34926880
Alberta,2006,4,89,Public Transit Amount,.2469324767589569,7265.0391
Alberta,2006,5,19,Taxable Capital Gains,.8508864045143127,4272795.5
Alberta,2006,5,20,Registered Retirement Savings Plan Income,.428234189748764,522661.53
Alberta,2006,5,23,Net Professional Income,.8302165269851685,1150344.8
Alberta,2006,5,33,Total Income Assessed,.5049375891685486,74593872
Alberta,2006,5,89,Public Transit Amount,.1855810545384884,5460.0093
Alberta,2007,1,19,Taxable Capital Gains,.0115550756454468,60908.23
Alberta,2007,1,20,Registered Retirement Savings Plan Income,.052070677280426,71128.43
Alberta,2007,1,23,Net Professional Income,.0110999345779419,16213.329
Alberta,2007,1,33,Total Income Assessed,.0363093018531799,5873179
Alberta,2007,1,89,Public Transit Amount,.1224321722984314,8841.6797
Alberta,2007,2,19,Taxable Capital Gains,.020466148853302,107879.6
Alberta,2007,2,20,Registered Retirement Savings Plan Income,.0798438191413879,109066.48
